time,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
1901-01-16 00:00:00,43.8,11.0,28.4,1.0,6.3,-7.4,-1.9,3.6000001,3.0,3.0
1901-02-15 00:00:00,55.0,10.900001,23.74,1.3000001,8.8,-5.0,0.5,6.0,3.8,3.98
1901-03-16 00:00:00,61.3,11.7,14.45,2.2,25.6,1.3000001,7.1,13.0,5.9,5.93
1901-04-16 00:00:00,62.5,12.400001,1.49,3.2,45.0,7.4,13.6,19.800001,9.3,8.38
1901-05-16 00:00:00,61.3,12.900001,0.0,3.9,58.9,12.400001,18.800001,25.300001,13.3,8.73
1901-06-16 00:00:00,61.3,12.7,0.0,4.7000003,67.0,17.5,23.800001,30.2,16.800001,8.8
1901-07-16 00:00:00,63.8,10.2,0.0,4.2000003,131.2,20.300001,25.4,30.5,22.9,12.4
1901-08-16 00:00:00,57.5,10.0,0.0,3.9,109.0,19.6,24.6,29.6,22.5,11.11
1901-09-16 00:00:00,63.8,9.900001,0.0,2.7,96.5,14.2,19.1,24.1,16.4,12.5
1901-10-16 00:00:00,55.0,10.7,0.83,2.0,55.3,8.1,13.400001,18.800001,10.900001,9.7
1901-11-16 00:00:00,47.7,10.5,14.759999,1.3000001,24.1,1.0,6.2000003,11.5,6.4,6.19
1901-12-16 00:00:00,41.3,10.6,27.14,0.90000004,5.9,-5.9,-0.6,4.7000003,3.7,2.52
1902-01-16 00:00:00,43.8,11.0,27.84,1.0,6.3,-6.7000003,-1.2,4.3,3.1000001,3.0
1902-02-15 00:00:00,55.0,10.900001,23.0,1.4,8.8,-4.2000003,1.3000001,6.8,3.8,3.98
1902-03-16 00:00:00,61.3,11.7,13.65,2.2,25.6,1.6,7.4,13.3,5.9,5.93
1902-04-16 00:00:00,62.5,12.400001,1.5999999,3.2,45.0,7.3,13.5,19.7,9.3,8.38
1902-05-16 00:00:00,61.3,12.900001,0.0,4.0,58.9,12.5,18.9,25.4,13.3,8.73
1902-06-16 00:00:00,61.3,12.7,0.0,4.7000003,67.0,17.4,23.7,30.1,16.800001,8.8
1902-07-16 00:00:00,63.8,10.2,0.0,4.2000003,131.2,20.2,25.300001,30.4,22.800001,12.4
1902-08-16 00:00:00,57.5,10.0,0.0,3.8,109.0,19.300001,24.300001,29.300001,22.4,11.11
1902-09-16 00:00:00,63.8,9.900001,0.0,2.7,96.5,14.1,19.0,24.0,16.300001,12.5
1902-10-16 00:00:00,55.0,10.7,0.45,2.0,55.3,8.6,13.900001,19.300001,11.0,9.7
1902-11-16 00:00:00,47.7,10.5,13.21,1.3000001,24.1,1.6,6.8,12.1,6.5,6.19
1902-12-16 00:00:00,41.3,10.6,26.769999,0.90000004,5.9,-5.5,-0.2,5.1,3.7,2.52
1903-01-16 00:00:00,43.8,11.0,28.32,1.0,6.3,-7.3,-1.8000001,3.7,3.0,3.0
1903-02-15 00:00:00,55.0,10.900001,23.0,1.4,8.8,-4.2000003,1.3000001,6.8,3.8,3.98
1903-03-16 00:00:00,61.3,11.7,13.92,2.2,25.6,1.5,7.3,13.2,5.9,5.93
1903-04-16 00:00:00,62.5,12.400001,1.38,3.2,45.0,7.5,13.7,19.9,9.3,8.38
1903-05-16 00:00:00,61.3,12.900001,0.0,4.0,58.9,12.5,18.9,25.4,13.3,8.73
1903-06-16 00:00:00,61.3,12.7,0.0,4.7000003,67.0,17.5,23.800001,30.2,16.7,8.8
1903-07-16 00:00:00,63.8,10.2,0.0,4.2000003,131.2,20.300001,25.4,30.5,22.800001,12.4
1903-08-16 00:00:00,57.5,10.0,0.0,3.9,109.0,19.6,24.6,29.6,22.5,11.11
1903-09-16 00:00:00,63.8,9.900001,0.0,2.7,96.5,14.2,19.1,24.1,16.300001,12.5
1903-10-16 00:00:00,55.0,10.7,1.01,1.9,55.3,7.9,13.2,18.6,10.900001,9.7
1903-11-16 00:00:00,47.7,10.5,15.799999,1.2,24.1,0.6,5.8,11.1,6.4,6.19
1903-12-16 00:00:00,41.3,10.6,26.869999,0.90000004,5.9,-5.6,-0.3,5.0,3.7,2.52
1904-01-16 00:00:00,43.8,11.0,28.55,1.0,6.3,-7.6,-2.1000001,3.4,3.0,3.0
