time,Unnamed: 0,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,spei01,spei03,spei06,spei12,days_in_month
1901-01-16,0,43.8,11.0,28.4,31.0,6.3,-7.4,-1.9,3.6000001,3.0,3.0,0.0,,,,31
1901-02-15,1,55.0,10.900001,23.74,36.4000028,8.8,-5.0,0.5,6.0,3.8,3.98,0.5,,,,28
1901-03-16,2,61.3,11.7,14.45,68.2,25.6,1.3000001,7.1,13.0,5.9,5.93,0.4,0.5,,,31
1901-04-16,3,62.5,12.400001,1.49,96.0,45.0,7.4,13.6,19.800001,9.3,8.38,0.3,0.5,,,30
1901-05-16,4,61.3,12.900001,0.0,120.89999999999999,58.9,12.400001,18.800001,25.300001,13.3,8.73,0.5,0.5,,,31
1901-06-16,5,61.3,12.7,0.0,141.000009,67.0,17.5,23.800001,30.2,16.800001,8.8,0.3,0.4,0.5,,30
1901-07-16,6,63.8,10.2,0.0,130.2000093,131.2,20.300001,25.4,30.5,22.9,12.4,0.4,0.5,0.6,,31
1901-08-16,7,57.5,10.0,0.0,120.89999999999999,109.0,19.6,24.6,29.6,22.5,11.11,0.1,0.2,0.4,,31
1901-09-16,8,63.8,9.900001,0.0,81.0,96.5,14.2,19.1,24.1,16.4,12.5,0.4,0.3,0.5,,30
1901-10-16,9,55.0,10.7,0.83,62.0,55.3,8.1,13.400001,18.800001,10.900001,9.7,0.3,0.3,0.4,,31
1901-11-16,10,47.7,10.5,14.759999,39.00000300000001,24.1,1.0,6.2000003,11.5,6.4,6.19,0.1,0.4,0.3,,30
1901-12-16,11,41.3,10.6,27.14,27.90000124,5.9,-5.9,-0.6,4.7000003,3.7,2.52,0.0,0.2,0.3,0.5,31
1902-01-16,12,43.8,11.0,27.84,31.0,6.3,-6.7000003,-1.2,4.3,3.1000001,3.0,0.0,0.0,0.2,0.5,31
1902-02-15,13,55.0,10.900001,23.0,39.199999999999996,8.8,-4.2000003,1.3000001,6.8,3.8,3.98,0.1,0.1,0.3,0.5,28
1902-03-16,14,61.3,11.7,13.65,68.2,25.6,1.6,7.4,13.3,5.9,5.93,0.4,0.3,0.2,0.5,31
1902-04-16,15,62.5,12.400001,1.5999999,96.0,45.0,7.3,13.5,19.7,9.3,8.38,0.3,0.4,0.3,0.5,30
1902-05-16,16,61.3,12.900001,0.0,124.0,58.9,12.5,18.9,25.4,13.3,8.73,0.3,0.5,0.4,0.5,31
1902-06-16,17,61.3,12.7,0.0,141.000009,67.0,17.4,23.7,30.1,16.800001,8.8,0.3,0.3,0.4,0.5,30
1902-07-16,18,63.8,10.2,0.0,130.2000093,131.2,20.2,25.300001,30.4,22.800001,12.4,0.4,0.4,0.5,0.5,31
1902-08-16,19,57.5,10.0,0.0,117.8,109.0,19.300001,24.300001,29.300001,22.4,11.11,0.2,0.3,0.4,0.5,31
